route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color
7Aa21,1,7,Laurent Bonnevay --> Vaulx-en-Velin Le Bourg,REG,3,E30613
7Ar21,1,7,Vaulx-en-Velin Le Bourg --> Laurent Bonnevay,REG,3,E30613
8Ba4,1,8,Perrache --> Oullins Clément Désormes,REG,3,E30613
8Br4,1,8,Oullins Clément Désormes --> Perrache,REG,3,E30613
9Ba2,1,9,Cordeliers --> Sathonay Castellane,REG,3,E30613
9Br2,1,9,Sathonay Castellane --> Cordeliers,REG,3,E30613
1EXa21,1,1E,Colombier-Saugn. Salines --> Grange Blanche,REG,3,575756
1EXr21,1,1E,Grange Blanche --> Colombier-Saugn. Salines,REG,3,575756
1EXa22,1,1E,Colombier-Saugn. Salines --> Grange Blanche,REG,3,575756
1EXr22,1,1E,Grange Blanche --> Colombier-Saugn. Salines,REG,3,575756
10Da4,1,10,Gare de Vaise --> Porte de Lyon,REG,3,00FFFF
10Dr4,1,10,Porte de Lyon --> Gare de Vaise,REG,3,00FFFF
10Ea2,1,10E,Gare de Vaise --> Porte de Lyon,REG,3,00FFFF
10Er2,1,10E,Porte de Lyon --> Gare de Vaise,REG,3,00FFFF
11Ba13,1,11,Gare d'Oullins --> Thurins Mairie,REG,3,E30613
11Br13,1,11,Thurins Mairie --> Gare d'Oullins,REG,3,E30613
12Ba10,1,12,Gare d'Oullins --> St-Genis 2,REG,3,E30613
12Br10,1,12,St-Genis 2 --> Gare d'Oullins,REG,3,E30613
14Ba16,1,14,Gare d'Oullins --> Gorge de Loup,REG,3,E30613
14Br16,1,14,Gorge de Loup --> Gare d'Oullins,REG,3,E30613
147a3,1,147,Terres Plates --> Grézieu - Montolvet,REG,3,00FFFF
147r3,1,147,Grézieu - Montolvet --> Terres Plates,REG,3,00FFFF
15Ca3,1,15,Bellecour Charité --> Irigny Hauts de Selettes,REG,3,E30613
15Cr3,1,15,Irigny Hauts de Selettes --> Bellecour Charité,REG,3,E30613
15Fa6,1,15E,Bellecour Charité --> Irigny - Gare d'Yvours,REG,3,6F4013
15Fr6,1,15E,Irigny - Gare d'Yvours --> Bellecour Charité,REG,3,6F4013
16Aa11,1,16,Vaulx-en-Velin La Soie --> Décines Grand Large,REG,3,E30613
16Ar11,1,16,Décines Grand Large --> Vaulx-en-Velin La Soie,REG,3,E30613
16Aa10,1,16,Vaulx-en-Velin La Soie --> Décines Grand Large,REG,3,E30613
16Ar10,1,16,Décines Grand Large --> Vaulx-en-Velin La Soie,REG,3,E30613
17Ba15,1,17,Ste-Foy Place Saint Luc --> St-Genis 2,REG,3,E30613
17Br15,1,17,St-Genis 2 --> Ste-Foy Place Saint Luc,REG,3,E30613
171a29,1,171,Pont Guillotière RD --> Crépieux Les Brosses,REG,3,E30613
171r29,1,171,Crépieux Les Brosses --> Pont Guillotière RD,REG,3,E30613
18Ba13,1,18,Gare d'Oullins --> Vernaison place,REG,3,E30613
18Br13,1,18,Vernaison place --> Gare d'Oullins,REG,3,E30613
19Aa18,1,19,Hôtel de Ville L. Pradel --> Ecully Le Perollier,REG,3,E30613
19Ar18,1,19,Ecully Le Perollier --> Hôtel de Ville L. Pradel,REG,3,E30613
2EXa7,1,2EX,Gorge de Loup --> Le Pont,REG,3,575756
2EXr7,1,2EX,Le Pont --> Gorge de Loup,REG,3,575756
20Aa15,1,20,Gare de Vaise --> St Cyr,REG,3,E30613
20Ar15,1,20,St Cyr --> Gare de Vaise,REG,3,E30613
21Aa23,1,21,Gare de Vaise --> Limonest Cimetière,REG,3,E30613
21Ar23,1,21,Limonest Cimetière --> Gare de Vaise,REG,3,E30613
21Aa24,1,21,Gare de Vaise --> Limonest Cimetière,REG,3,E30613
21Ar24,1,21,Limonest Cimetière --> Gare de Vaise,REG,3,E30613
22Aa8,1,22,Gare de Vaise --> St Fortunat,REG,3,E30613
22Ar8,1,22,St Fortunat --> Gare de Vaise,REG,3,E30613
23Aa8,1,23,Gare de Vaise --> Rocade des Monts d'Or,REG,3,E30613
23Ar8,1,23,Rocade des Monts d'Or --> Gare de Vaise,REG,3,E30613
24Aa15,1,24,Grange Blanche --> Sept Chemins,REG,3,E30613
24Ar15,1,24,Sept Chemins --> Grange Blanche,REG,3,E30613
25Aa18,1,25,Gare Part-Dieu V.Merle --> Sept Chemins,REG,3,E30613
25Ar18,1,25,Sept Chemins --> Gare Part-Dieu V.Merle,REG,3,E30613
26Aa14,1,26,Lycée Lumière --> Manissieux P. Blanche,REG,3,E30613
26Ar14,1,26,Manissieux P. Blanche --> Lycée Lumière,REG,3,E30613
27Aa26,1,27,Vieux Lyon --> Villeurbanne Centre,REG,3,E30613
27Ar26,1,27,Villeurbanne Centre --> Vieux Lyon,REG,3,E30613
28Aa16,1,28,Meyzieu Z.i. --> Vaulx-en-Velin La Soie,REG,3,E30613
28Ar16,1,28,Vaulx-en-Velin La Soie --> Meyzieu Z.i.,REG,3,E30613
29Aa18,1,29,Meyzieu Z.i. --> R.N.6 - A. Pare,REG,3,E30613
29Ar18,1,29,R.N.6 - A. Pare --> Meyzieu Z.i.,REG,3,E30613
296a31,1,2960,Gare Part-Dieu Villette --> St-P.de-Chandieu - Rajat,ITL,3,E30613
296r31,1,2960,St-P.de-Chandieu - Rajat --> Gare Part-Dieu Villette,ITL,3,E30613
30Ba3,1,30,St-P.de-Chandieu - Rajat --> St Priest Jules Ferry,REG,3,E30613
30Br3,1,30,St Priest Jules Ferry --> St-P.de-Chandieu - Rajat,REG,3,E30613
31Aa27,1,31,Perrache --> Cité Edouard Herriot,REG,3,E30613
31Ar27,1,31,Cité Edouard Herriot --> Perrache,REG,3,E30613
31Aa26,1,31,Perrache --> Cité Edouard Herriot,REG,3,E30613
31Ar26,1,31,Cité Edouard Herriot --> Perrache,REG,3,E30613
32Aa7,1,32,Hameau de Bianne --> Meyzieu Z.i.,REG,3,E30613
32Ar7,1,32,Meyzieu Z.i. --> Hameau de Bianne,REG,3,E30613
325a8,1,F1,Vieux Lyon --> St Just,REG,7,95C23D
325r8,1,F1,St Just --> Vieux Lyon,REG,7,95C23D
326a7,1,F2,Vieux Lyon --> Fourvière,REG,7,95C23D
326r7,1,F2,Fourvière --> Vieux Lyon,REG,7,95C23D
33Aa28,1,33,Croix-Rousse --> Rillieux - Les Alagniers,REG,3,E30613
33Ar28,1,33,Rillieux - Les Alagniers --> Croix-Rousse,REG,3,E30613
34Aa4,1,34,Perrache --> Grange Blanche,REG,3,E30613
34Ar4,1,34,Grange Blanche --> Perrache,REG,3,E30613
35Aa26,1,35,Bellecour Charité --> Vénissieux Le Charréard,REG,3,E30613
35Ar26,1,35,Vénissieux Le Charréard --> Bellecour Charité,REG,3,E30613
37Aa24,1,37,Charpennes --> O'Hara,REG,3,E30613
37Ar24,1,37,O'Hara --> Charpennes,REG,3,E30613
37Aa20,1,37,Charpennes --> Vaulx - Marcel Cachin,REG,3,E30613
37Ar20,1,37,Vaulx - Marcel Cachin --> Charpennes,REG,3,E30613
38Ba3,1,38,Gare Part-Dieu V.Merle --> Caluire - Pl. Bascule,REG,3,E30613
38Br3,1,38,Caluire - Pl. Bascule --> Gare Part-Dieu V.Merle,REG,3,E30613
39Aa14,1,39,Parc de Parilly --> Solaize Mairie,REG,3,E30613
39Ar14,1,39,Solaize Mairie --> Parc de Parilly,REG,3,E30613
